Time	MsgType	Sender	Target	ClOrdID	Side	Exchange	Symbol	Account	OrderQty	Price	OrdStatus	ExecID	AvgPx	CumQty	LeavesQty	LastPx	LastQty
15:12:16	8	KSFMQ	CYHFMQ	yh42	1	sfe	al1110	4009	1	278.1000	2	1-yh42	278.1000	1	0	278.1000	1
15:12:16	8	KSFMQ	CYHFMQ	yh43	1	sfe	al1110	4009	1	278.1000	2	1-yh43	278.1000	1	0	278.1000	1
15:12:17	8	KSFMQ	CYHFMQ	yh44	1	sfe	al1110	4009	1	278.1000	2	1-yh44	278.1000	1	0	278.1000	1
15:12:17	8	KSFMQ	CYHFMQ	yh45	1	sfe	al1110	4009	1	278.1000	2	1-yh45	278.1000	1	0	278.1000	1
15:12:17	8	KSFMQ	CYHFMQ	yh46	1	sfe	al1110	4009	1	278.1000	2	1-yh46	278.1000	1	0	278.1000	1
15:12:59	8	KSFMQ	CYHFMQ	yh47	1	sfe	al1110	4009	1	278.1000	2	1-yh47	278.1000	1	0	278.1000	1
15:12:59	8	KSFMQ	CYHFMQ	yh48	1	sfe	al1110	4009	1	278.1000	2	1-yh48	278.1000	1	0	278.1000	1
15:12:59	8	KSFMQ	CYHFMQ	yh49	1	sfe	al1110	4009	1	278.1000	2	1-yh49	278.1000	1	0	278.1000	1
15:12:59	8	KSFMQ	CYHFMQ	yh50	1	sfe	al1110	4009	1	278.1000	2	1-yh50	278.1000	1	0	278.1000	1
15:12:59	8	KSFMQ	CYHFMQ	yh51	1	sfe	al1110	4009	1	278.1000	2	1-yh51	278.1000	1	0	278.1000	1
15:13:00	8	KSFMQ	CYHFMQ	yh52	1	sfe	al1110	4009	1	278.1000	2	1-yh52	278.1000	1	0	278.1000	1
15:13:00	8	KSFMQ	CYHFMQ	yh53	1	sfe	al1110	4009	1	278.1000	2	1-yh53	278.1000	1	0	278.1000	1
15:13:00	8	KSFMQ	CYHFMQ	yh54	1	sfe	al1110	4009	1	278.1000	2	1-yh54	278.1000	1	0	278.1000	1
15:13:00	8	KSFMQ	CYHFMQ	yh55	1	sfe	al1110	4009	1	278.1000	2	1-yh55	278.1000	1	0	278.1000	1
15:13:00	8	KSFMQ	CYHFMQ	yh56	1	sfe	al1110	4009	1	278.1000	2	1-yh56	278.1000	1	0	278.1000	1
15:13:00	8	KSFMQ	CYHFMQ	yh57	1	sfe	al1110	4009	1	278.1000	2	1-yh57	278.1000	1	0	278.1000	1
15:13:00	8	KSFMQ	CYHFMQ	yh58	1	sfe	al1110	4009	1	278.1000	2	1-yh58	278.1000	1	0	278.1000	1
15:13:00	8	KSFMQ	CYHFMQ	yh59	1	sfe	al1110	4009	1	278.1000	2	1-yh59	278.1000	1	0	278.1000	1
15:13:00	8	KSFMQ	CYHFMQ	yh60	1	sfe	al1110	4009	1	278.1000	2	1-yh60	278.1000	1	0	278.1000	1
15:13:00	8	KSFMQ	CYHFMQ	yh61	1	sfe	al1110	4009	1	278.1000	2	1-yh61	278.1000	1	0	278.1000	1
15:13:00	8	KSFMQ	CYHFMQ	yh62	1	sfe	al1110	4009	1	278.1000	2	1-yh62	278.1000	1	0	278.1000	1
15:13:00	8	KSFMQ	CYHFMQ	yh63	1	sfe	al1110	4009	1	278.1000	2	1-yh63	278.1000	1	0	278.1000	1
15:13:00	8	KSFMQ	CYHFMQ	yh64	1	sfe	al1110	4009	1	278.1000	2	1-yh64	278.1000	1	0	278.1000	1
15:13:00	8	KSFMQ	CYHFMQ	yh65	1	sfe	al1110	4009	1	278.1000	2	1-yh65	278.1000	1	0	278.1000	1
15:13:00	8	KSFMQ	CYHFMQ	yh66	1	sfe	al1110	4009	1	278.1000	2	1-yh66	278.1000	1	0	278.1000	1
15:13:00	8	KSFMQ	CYHFMQ	yh67	1	sfe	al1110	4009	1	278.1000	2	1-yh67	278.1000	1	0	278.1000	1
15:13:00	8	KSFMQ	CYHFMQ	yh68	1	sfe	al1110	4009	1	278.1000	2	1-yh68	278.1000	1	0	278.1000	1
15:13:00	8	KSFMQ	CYHFMQ	yh69	1	sfe	al1110	4009	1	278.1000	2	1-yh69	278.1000	1	0	278.1000	1
15:13:00	8	KSFMQ	CYHFMQ	yh70	1	sfe	al1110	4009	1	278.1000	2	1-yh70	278.1000	1	0	278.1000	1
15:13:00	8	KSFMQ	CYHFMQ	yh71	1	sfe	al1110	4009	1	278.1000	2	1-yh71	278.1000	1	0	278.1000	1
15:13:01	8	KSFMQ	CYHFMQ	yh72	1	sfe	al1110	4009	1	278.1000	2	1-yh72	278.1000	1	0	278.1000	1
15:13:01	8	KSFMQ	CYHFMQ	yh73	1	sfe	al1110	4009	1	278.1000	2	1-yh73	278.1000	1	0	278.1000	1
15:13:01	8	KSFMQ	CYHFMQ	yh74	1	sfe	al1110	4009	1	278.1000	2	1-yh74	278.1000	1	0	278.1000	1
15:13:01	8	KSFMQ	CYHFMQ	yh75	1	sfe	al1110	4009	1	278.1000	2	1-yh75	278.1000	1	0	278.1000	1
15:13:01	8	KSFMQ	CYHFMQ	yh76	1	sfe	al1110	4009	1	278.1000	2	1-yh76	278.1000	1	0	278.1000	1
15:13:01	8	KSFMQ	CYHFMQ	yh77	1	sfe	al1110	4009	1	278.1000	2	1-yh77	278.1000	1	0	278.1000	1
15:13:01	8	KSFMQ	CYHFMQ	yh78	1	sfe	al1110	4009	1	278.1000	2	1-yh78	278.1000	1	0	278.1000	1
15:13:01	8	KSFMQ	CYHFMQ	yh79	1	sfe	al1110	4009	1	278.1000	2	1-yh79	278.1000	1	0	278.1000	1
15:13:01	8	KSFMQ	CYHFMQ	yh80	1	sfe	al1110	4009	1	278.1000	2	1-yh80	278.1000	1	0	278.1000	1
15:13:01	8	KSFMQ	CYHFMQ	yh81	1	sfe	al1110	4009	1	278.1000	2	1-yh81	278.1000	1	0	278.1000	1
15:13:01	8	KSFMQ	CYHFMQ	yh82	1	sfe	al1110	4009	1	278.1000	2	1-yh82	278.1000	1	0	278.1000	1
15:13:01	8	KSFMQ	CYHFMQ	yh83	1	sfe	al1110	4009	1	278.1000	2	1-yh83	278.1000	1	0	278.1000	1
15:13:01	8	KSFMQ	CYHFMQ	yh84	1	sfe	al1110	4009	1	278.1000	2	1-yh84	278.1000	1	0	278.1000	1
15:13:01	8	KSFMQ	CYHFMQ	yh85	1	sfe	al1110	4009	1	278.1000	2	1-yh85	278.1000	1	0	278.1000	1
15:13:01	8	KSFMQ	CYHFMQ	yh86	1	sfe	al1110	4009	1	278.1000	2	1-yh86	278.1000	1	0	278.1000	1
15:13:01	8	KSFMQ	CYHFMQ	yh87	1	sfe	al1110	4009	1	278.1000	2	1-yh87	278.1000	1	0	278.1000	1
15:13:01	8	KSFMQ	CYHFMQ	yh88	1	sfe	al1110	4009	1	278.1000	2	1-yh88	278.1000	1	0	278.1000	1
15:13:01	8	KSFMQ	CYHFMQ	yh89	1	sfe	al1110	4009	1	278.1000	2	1-yh89	278.1000	1	0	278.1000	1
15:13:01	8	KSFMQ	CYHFMQ	yh90	1	sfe	al1110	4009	1	278.1000	2	1-yh90	278.1000	1	0	278.1000	1
15:13:01	8	KSFMQ	CYHFMQ	yh91	1	sfe	al1110	4009	1	278.1000	2	1-yh91	278.1000	1	0	278.1000	1
15:13:02	8	KSFMQ	CYHFMQ	yh92	1	sfe	al1110	4009	1	278.1000	2	1-yh92	278.1000	1	0	278.1000	1
15:13:02	8	KSFMQ	CYHFMQ	yh93	1	sfe	al1110	4009	1	278.1000	2	1-yh93	278.1000	1	0	278.1000	1
15:13:02	8	KSFMQ	CYHFMQ	yh94	1	sfe	al1110	4009	1	278.1000	2	1-yh94	278.1000	1	0	278.1000	1
15:13:02	8	KSFMQ	CYHFMQ	yh95	1	sfe	al1110	4009	1	278.1000	2	1-yh95	278.1000	1	0	278.1000	1
15:13:02	8	KSFMQ	CYHFMQ	yh96	1	sfe	al1110	4009	1	278.1000	2	1-yh96	278.1000	1	0	278.1000	1
15:13:02	8	KSFMQ	CYHFMQ	yh97	1	sfe	al1110	4009	1	278.1000	2	1-yh97	278.1000	1	0	278.1000	1
15:13:02	8	KSFMQ	CYHFMQ	yh98	1	sfe	al1110	4009	1	278.1000	2	1-yh98	278.1000	1	0	278.1000	1
15:13:02	8	KSFMQ	CYHFMQ	yh99	1	sfe	al1110	4009	1	278.1000	2	1-yh99	278.1000	1	0	278.1000	1
